idx,question_id,answer_id
92,"(Apa yang telah Kami berikan kepada orang-orang yang beriman) kepada Nabi Isa (di dalam Alquran ini) maksudnya, dalam surat ini terdapat penjelasan mengenai apa yang telah Kami jelaskan mengenai keadaan mereka, yaitu mengenai keadaan orang-orang Yahudi dan orang-orang Kristen (bersabarlah) bersabarlah (dan tetaplah waspada) terhadap perbuatan-perbuatan (serta bertakwalah kepada Allah supaya kamu mendapat keberuntungan).","Hai orang-orang yang beriman, bersabarlah kamu dalam menghadapi cobaan dan kesengsaraan serta jauhilah dosa-dosa orang-orang yang kafir itu dan bersabarlah terhadap orang-orang yang lebih sabar dari kamu, dan teguhkanlah kesabaranmu dalam menghadapi gangguan-gangguan yang ada, dan bertakwalah kepada Allah dalam urusan kamu sekalian, supaya kamu mendapat surga dan mereka diselamatkan dari api neraka."
93,Ayat apa yang menggambarkan awal dan perluasan penciptaan?,"Hai sekalian manusia, bertakwalah kepada Tuhanmu yang telah menciptakan kamu dari seorang diri, dan dari padanya Allah menciptakan isterinya; dan dari pada keduanya Allah memperkembang biakkan laki-laki dan perempuan yang banyak."
94,"(Dan jika kamu takut tidak akan dapat berlaku adil terhadap anak-anak yatim) sehingga sulit bagi kamu untuk menghadapi mereka lalu kamu takut pula tidak akan dapat berlaku adil di antara wanita-wanita yang kamu kawini (maka kawinilah) (apa) dengan arti siapa (yang baik di antara wanita-wanita itu bagi kamu dua, tiga atau empat orang) boleh dua, tiga atau empat tetapi tidak boleh lebih dari itu. (kemudian jika kamu tidak akan dapat berlaku adil) di antara mereka dalam giliran dan pembagian nafkah (maka hendaklah seorang saja) yang kamu kawini (atau) hendaklah kamu batasi pada (hamba sahaya yang menjadi milikmu) karena mereka tidak mempunyai hak-hak sebagaimana istri-istri lainnya.","(Dan) ingatlah (ketika diturunkan ayat) yakni Alquran (kepada anak-anak yatim) idhafat di sini menunjukkan makna ibtida atau sebagai sanggahan terhadap ucapan mereka yang ditujukan kepada orang-orang musyrik (bahwasanya harta mereka) harta yang ada (diturunkan kepada mereka) berupa harta benda dan anak-anak yatim (mereka tidak memeliharanya) tidak mencampur-baurkan anak-anak yatim itu (dari anak-anak yatim dan tidak pula para istri yang lain adalah lebih dekat kepada anak-anak yatim) lebih dari keperluan mereka (dan jika kamu khawatir) hai para wali (tidaklah atas mereka) terhadap anak-anak yatim, maksudnya terhadap anak-anak yatim, tetapi terhadap anak-anak yatim, tetapi jika kamu khawatir tidak akan dapat berlaku adil terhadap mereka, maka berikanlah kepada mereka nafkahkanlah mereka itu) maksudnya hendaklah mereka nafkahkan (atau bersedekahlah) kepada orang-orang miskin (orang yang berbuat aniaya) karena mereka memelihara harta mereka."
95,"Ayat mana yang telah diwahyukan kepadamu, Muhammad, tentang wanita dan anak-anak yang tidak boleh diwarisi.","(Bagi laki-laki) baik anak-anak maupun karib kerabat (ada bagian) atau hak (dari harta peninggalan ibu bapak dan karib kerabat) yang meninggal dunia (dan bagi wanita ada bagian pula dari harta peninggalan ibu bapak dan karib kerabat, baik sedikit daripadanya) maksudnya dari harta itu (atau banyak) yang dijadikan Allah (sebagai hak yang telah ditetapkan) artinya hak yang pasti yang harus diserahkan kepada mereka."
96,Jelaskan ayat - ayat ini.,"(Allah mewasiatkan atau menitahkan padamu mengenai anak-anakmu) dengan apa yang akan disebutkan ini: (yaitu bagian seorang anak lelaki sama dengan bagian dua orang anak perempuan) di antara mereka. Jika ketiga mereka itu berkumpul, maka bagi yang lelaki seperdua harta dan bagi kedua anak perempuan seperdua pula."
97,Dan tidak ada taubat sedikitpun sesudah Allah (Al Quran) itu yang diterima-Nya taubat dari karunia-Nya dan apa yang menjadi tanda-tanda (kekuasaan Allah).,(Sesungguhnya Allah telah menjanjikan kepada orang-orang yang mengerjakan kejahatan) yaitu dosa-dosa (karena kebodohannya kemudian mereka bertobat) kembali kepada Allah (sesudah itu dan Allah Maha Mengetahui) terhadap makhluk-Nya (lagi Maha Penyayang) terhadap mereka.
98,"(Maka mengapa orang-orang yang kafir kepada Allah dan kepada keterangan yang nyata) yakni hujah-hujah-Nya, yang karenanya lalu mereka berhenti dari mentauhidkan-Nya.","(Dan tidak pula akan diterima dari orang-orang yang mati sedangkan mereka berada dalam kekafiran) yakni jika mereka bertobat di akhirat sewaktu menyaksikan azab, maka tidak pula akan diterima. (Dan tidak pula akan diterima dari orang-orang yang mati) yaitu orang-orang yang telah mati sewaktu hidup di alam dunia (kecuali) di akhirat, (sebagai hukuman) atau hukuman (yang pedih) atau menyakitkan."
99,Siapa wanita yang dilarang untuk laki-laki?,"Diharamkan atas kamu (mengawini) ibu-ibumu; anak-anakmu yang perempuan, saudara-saudaramu yang perempuan, anak-anak perempuan dari saudara-saudaramu yang laki-laki, anak-anak perempuan dari saudara-saudaramu yang laki-laki; anak-anak perempuan dari saudara-saudaramu yang perempuan; ibu-ibumu yang menyusui kamu; saudara perempuan sepersusuan; ibu-ibu isterimu (mertua); anak-anak isterimu yang dalam pemeliharaanmu dari isteri yang telah kamu campuri, diharamkan (menceraikan) di antara anak-anak kandungmu (menantu); anak kandungmu (menantu); dan diharamkan atas anak kandungmu (menantu) dua perempuan yang bersaudara, kecuali yang telah terjadi pada masa lampau; sesungguhnya Allah Maha Pengampun lagi Maha Penyayang."
100,Apa batas bangsa yang telah melakukan dosa percabulan setelah menikah?,"(Dan jika kamu tidak mampu kawin dengan seorang wanita Mukmin, maka hendaklah kamu kawini wanita yang beriman) dengan maksud mengawininya (dengan cara yang sebaik-baiknya) yaitu dengan tanpa menimbulkan kemudaratan terhadap wanita yang kamu kawini (dan hendaklah kamu kawini budak-budak yang kamu miliki) yakni hamba sahaya yang kamu miliki (dan) hendaklah kamu kawini (di antara hamba sahaya yang kamu miliki itu) yakni hamba sahaya yang kamu miliki (dan hendaklah kamu bertakwa kepada Allah) dalam hal itu (dan hendaklah seorang yang sabar di antara kamu di antara mereka) dengan menjaga diri dan hartamu."
101,"(Allah telah berjanji kepada orang-orang mukmin bahwa Dia akan mengampuni dosa-dosa mereka yang kecil) yakni dosa-dosa yang kecil (jika mereka berhenti dari apa yang mereka persekutukan) dengan Allah, yakni mereka yang musyrik (mereka itu tidak taat kepada ibu bapak mereka dan tidak pula menzalimi manusia) dengan mempersekutukan Allah. (Apakah kamu akan menyebut nama Allah terhadap ayat-ayat-Nya?) yang menunjukkan akan kekuasaan-Nya.","(Jika kamu menjauhi dosa-dosa besar di antara dosa-dosa yang dilarang kamu mengerjakannya) yakni dosa-dosa yang pernah pelakunya mendapat ancaman seperti membunuh, berzina, mencuri dan lain-lain yang menurut Ibnu Abbas banyaknya hampir tujuh ratus macam (niscaya Kami hapus kesalahan-kesalahanmu) yang kecil-kecil dengan jalan mengerjakan ketaatan (dan Kami masukkan kamu dengan pemasukan) dibaca mudkhalan atau madkhalan yang berarti pemasukan atau ke tempat (yang mulia) yaitu surga."
102,"(Apa yang telah diturunkan kepadanya) ada yang membaca dengan ya dan ada pula dengan ya (ketika ia berkata, ""Aduhai!) huruf Ya di sini menunjukkan makna tanbih atau penyesalan (supaya kami dapat berjihad dan beroleh pahala seperti apa yang diberikan kepada manusia."") yakni surga.",(Dan janganlah kamu mengangan-angankan karunia yang dilebihkan Allah kepada sebagian kamu dari sebagian lainnya) baik dari segi keduniaan maupun pada soal keagamaan agar hal itu tidak menimbulkan saling membenci dan mendengki. (Bagi laki-laki ada bagian) atau pahala (dari apa yang mereka usahakan) disebabkan perjuangan yang mereka lakukan dan lain-lain (dan bagi wanita ada bagian pula dari apa yang mereka usahakan) misalnya mematuhi suami dan memelihara kehormatan mereka.
103,Apa yang harus dilakukan seorang pria jika istrinya tidak taat kepadanya? Apa buktinya?,(Kaum lelaki menjadi pemimpin) artinya mempunyai kekuasaan (terhadap kaum wanita) dan berkewajiban mendidik dan membimbing mereka (oleh karena Allah telah melebihkan sebagian kamu atas lainnya) yaitu kekuasaan dan sebagainya (dan juga karena mereka telah menafkahkan) atas mereka (harta mereka.
104,"(Di antara orang-orang Yahudi) ada suatu kaum (mereka mengubah perkataan-perkataan) yakni yang diturunkan Allah dalam Taurat berupa tanda-tanda dan sifat-sifat Nabi Muhammad saw. (dari tempat-tempatnya) semula (dan kata mereka) kepada Nabi saw. bila beliau menitahkan mereka mengerjakan sesuatu: (""Allah tidak menyukai ucapan-ucapan mereka yang dusta) terhadap-Nya (dan mereka mengada-adakan saja terhadap Allah."")","(Dan ingatlah ketika Kami berfirman,) kepada mereka setelah mereka keluar dari bukit Tih, (""Masuklah kamu ke negeri ini""), yakni Baitulmakdis atau Yerusalem dan ada pula yang mengatakannya 'Ariha' (Maka makanlah di antara makanannya yang baik lagi enak mana yang kamu sukai) tanpa ada larangan (dan masukilah pintu gerbangnya) (dalam keadaan bersujud) artinya menundukkan diri (dan ucapkanlah) sebagai permohonan, (""Bebaskanlah kami dari dosa!"") (niscaya Kami ampuni) menurut suatu qiraat 'yughfar', sedangkan menurut suatu qiraat lainnya 'tughfar', keduanya kata kerja pasif yang berarti 'diampuni' (bagi mereka siksaan dari langit disebabkan kekafiran mereka dan karena kekafiran mereka), artinya disebabkan kekafiran mereka. (Dan sekiranya mereka mendengarkan ayat-ayat itu) yakni Alquran (dan mereka selalu mengucapkan kebatilan) ajaran tauhidan (dan tentulah mereka lebih baik bagi mereka) daripada orang-orang yang memperolok-olokkan mereka) serta mereka."
105,"(Dan bacakanlah) hai Muhammad (ayat-ayat Alkitab) yakni Alquran (kepada orang-orang yang diberi kitab) yakni orang-orang Yahudi (beriman kepada apa yang telah Kami turunkan) yakni Alquran (dan membenarkan apa yang ada pada kalian) berupa kitab-kitab suci dan kitab-kitab (sebelum Kami mengubah) artinya sebelum Kami menurunkan Alquran kepada Muhammad secara berangsur-angsur, yang dimaksud adalah kitab-kitab suci yang diturunkan kepada mereka (atau Kami kutuk mereka) menimpa mereka (sebagaimana Kami telah mengutuk hamba-hamba Kami) menurut qiraat yang lain lafal tahtahaa dibaca tushab sehingga bacaannya menjadi yatada, artinya Kami mengutuk mereka (pada hari Sabtu) sebagaimana Kami telah mengutuk mereka (dan adalah ketetapan Allah) yakni hukum-Nya (yang pasti berlaku) yakni azab-Nya.","Hai orang-orang yang diberi kitab suci, berimanlah kalian kepada al-Qur'ân yang telah Kami turunkan kepada Muhammad, yang membenarkan apa yang ada pada kalian, sebelum Kami turunkan siksa untuk kalian yang membuat bentuk muka kalian terbalik menyerupai bagian belakang kepala, tanpa hidung, mata, dan alis, atau sebelum Kami kutuk kalian sebagaimana kutukan Kami atas mereka yang telah melanggar perintah untuk tidak menangkap ikan pada hari Sabtu. Ketetapan Allah pasti berlaku."
106,Dan apakah ayat-ayat itu membedakan antara orang-orang yang telah diberi Allah ampunan dan orang-orang yang fasik?,"Sesungguhnya Allah tidak akan mengampuni dosa syirik, dan Dia mengampuni segala dosa yang selain dari (syirik) itu, bagi siapa yang dikehendaki-Nya. Barangsiapa yang mempersekutukan (sesuatu) dengan Allah, maka sesungguhnya ia telah berbuat dosa yang besar."
107,"(Siapakah yang dimaksud dengan Alquran ini?) yang dimaksud adalah Alquran (Maka apakah kamu tidak melihat kepada orang-orang yang membersihkan diri) dari kemusyrikan, yaitu orang yang dimaksud adalah orang-orang kafir Mekah (tetapi Allah membersihkan) menyucikan (siapa yang dikehendaki-Nya) dari kemusyrikan (dan mereka tidak dianiaya) sedikit pun.","Dan kepada orang-orang Yahudi mereka berkata: ""Kami ini anak-anak Allah dan kekasih-kekasih-Nya."""
108,"(Apakah kamu tidak melihat) tidak memperhatikan (orang-orang yang diberi bagian dari Alkitab) yakni orang-orang Yahudi (mereka beriman kepada sesembahan-sesembahan) sesembahan-sesembahan mereka (dan mengatakan kepada orang-orang kafir) sebagai penyembahan mereka terhadap berhala-berhala itu (""Sesungguhnya mereka itu lebih benar-benar mendapat petunjuk daripada orang-orang yang beriman"").","Dan telah diwahyukan kepada Ka'bah (Bani Israil) dan kepada (nabi-nabi) yang lain (yaitu): ""Apakah kamu tidak melihat orang-orang yang masuk ke dalam agama orang-orang Yahudi bersama-sama dengan orang-orang mukmin?"""
109,Apa arti dari 'orang-orang' dalam ayat ini?,"(Apakah kamu menghendaki ketenteraman) nikmat-nikmat itu; lafal tasydid dapat dibaca tahqiq dan dapat pula dibaca tasydid, yakni tanpa memakai tasydid (disebabkan kamu dengki kepada Nabi Muhammad) hai Muhammad (dan pengikut-pengikutnya?) yakni pengikut-pengikutnya. (Apakah kamu menghendaki) dapat dibaca tahqiq dan tashil (bahwasanya Allah akan menolongnya) dapat dibaca tahqiq dan dapat pula dibaca tashil (dari karunia-Nya) dari-Nya."
110,(Mengapa diturunkan) dapat dibaca tahqiq dan dapat pula dibaca tashil (ayat-ayat ini) yakni Alquran (kepada mereka) maksudnya ayat-ayat Alquran (Allah memerintahkan supaya kamu memberikan amanat kepada orang yang kamu kehendaki di antara manusia) baik dari kalangan manusia maupun dari kalangan mereka (dan apabila kamu memutuskan) perkara di antara manusia dengan adil (maka putuskanlah di antara manusia dengan adil) di dalam memutuskan hukum-hukum syariat (sesungguhnya Allah memberi pengajaran kepadamu dengan perintah-Nya) dengan perintah-Nya (dan Allah Maha Mendengar) perkataan-perkataan yang diucapkan (lagi Maha Mengetahui) perbuatan-perbuatan yang kamu lakukan.,"(Dan) ingatlah (tatkala) ketika (Alif) lafal Idz dapat dibaca Tahqiq dan Tas-hil (dia mengambil) yakni Nabi Muhammad saw. (kunci yang dibawanya) yang dimaksud adalah kunci-kunci rumah itu (dari arah Masjidilharam) yaitu Kakbah sewaktu Nabi saw. melihat apa yang dimaksud dengannya, maka orang-orang Arab musyrik mengatakan, (""Seandainya aku tahu) seumpamanya aku mengetahui (bahwa ia adalah utusan Allah) yakni Alquran itu (niscaya aku tidak akan menghalangi-Nya) dari datang (kepadanya) untuk menyampaikannya (Rabbku) yakni Alquran (pada tahun yang tidak ada keraguan padanya dan tidak pula rahmat-Nya) yakni surga."
111,"Bacakan ayat yang menjelaskan hubungan antara orang - orang, Pencipta mereka, Nabi mereka, dan para penguasa mereka.","Hai orang-orang yang beriman, taatilah Allah dan taatilah Rasul (Nya), dan ulil amri di antara kamu, dan jika kamu berselisih tentang sesuatu, maka kembalikanlah ia kepada Allah dan Rasul (sunnahnya), jika kamu beriman kepada Allah dan hari akhirat, dan itulah yang lebih baik bagimu dan lebih baik."
112,(Apa balasan bagi kalian) khithab ayat ini ditujukan kepada orang-orang mukmin dan lain-lainnya (jika kalian taat kepada Allah dan Rasul-Nya?,"(Dan siapa yang menaati Allah dan Rasul) tentang apa yang dititahkan keduanya (maka mereka itu bersama orang-orang yang diberi karunia oleh Allah, yaitu golongan nabi-nabi dan shiddiqin) sahabat-sahabat utama dari para nabi-nabi dan rasul-rasul yang membenarkan dan amat teguh kepercayaan kepada mereka (para syuhada) orang-orang yang gugur syahid di jalan Allah (dan orang-orang saleh) yakni selain dari yang telah disebutkan itu. (Dan mereka itulah teman-teman yang sebaik-baiknya) maksudnya teman-teman dalam surga karena dapat melihat wajah mereka, berkunjung dan menghadiri majelis mereka walaupun tempat mereka jika dibandingkan dengan golongan-golongan lainnya lebih tinggi dan lebih mulia."
113,(Dan Kami utus kamu) hai Muhammad (kepada manusia sebagai rasul) menjadi hal yang diperkuat. (Dan cukuplah Allah sebagai saksi) atas kerasulanmu.,"Dan apa saja nikmat yang ada pada kamu, dan apa saja nikmat yang ada pada kamu, maka dari Allah-lah (datangnya), dan apa saja nikmat yang diberikan kepadamu, maka dari apa saja nikmat yang diberikan kepadamu, dan apa saja bencana yang menimpamu, maka dari tanganmu sendiri, dan apa yang telah kamu perbuat, maka sesungguhnya kamu telah dikirim untuk menyampaikan amanat Tuhanmu; dan cukuplah Allah menjadi saksi."
114,Apa ayat yang mendorong tidak mengungkapkan rahasia dan menahan diri dari menyebarkan rumor?,(Dan apabila datang kepada mereka suatu berita) mengenai hasil-hasil yang dicapai oleh ekspedisi tentara Nabi saw. (berupa keamanan) maksudnya kemenangan (atau ketakutan) maksudnya kekalahan (mereka lalu menyiarkannya).
115,"Ayat mana yang menyeru Nabi untuk memerangi orang-orang kafir, walaupun ia sendirian?","Allah memerintahkan Rasul-Nya untuk memerangi orang-orang musyrik dan menghalangi orang-orang Mukmin untuk memerangi mereka. Mudah-mudahan Allah menolak serangan orang-orang kafir itu, karena Allah sangat keras hukuman-Nya."
116,"Jika seseorang berbuat baik dan orang lain memperoleh manfaat darinya, apakah ia akan mendapat imbalan? dan jika seseorang berbuat jahat dan orang lain mengikutinya, apakah mereka akan bertanggung jawab atas hal itu? silahkan kutip ayat yang mendukung makna ini.","(Bukan demikian), yang benar: barangsiapa memberi syafa'at yang baik (surga) dari sisi Allah, maka baginya syafa'at yang baik-baik dan barangsiapa memberi syafa'at yang buruk, niscaya ia akan memperoleh bahagian daripadanya; dan Allah Maha Mengawasi segala sesuatu."
117,Bacakan ayat tentang pembunuhan yang tidak disengaja dan jelaskan.,"(Dan tidak halal bagi seorang mukmin membunuh seorang mukmin), maksudnya seorang mukmin (kecuali karena tersalah), artinya tidak sengaja membunuh orang mukmin karena tidak sengaja, disebabkan pembunuhan itu dilakukan dengan sengaja membunuh atau lainnya. (Jika ia) maksudnya yang terbunuh (dari orang mukmin) yang terbunuh (maka hendaklah memerdekakan seorang hamba sahaya yang beriman beserta diat yang diserahkan) maksudnya para ahli waris (kepada keluarganya), yakni ahli waris yang terbunuh (kecuali jika mereka), maksudnya yang terbunuh (dua orang orang yang terbunuh), maksudnya dua orang atau lebih."
118,Sebutkan dan jelaskan pembunuhan berencana.,"Dan barangsiapa yang membunuh seorang mukmin dengan sengaja maka balasannya ialah Jahannam, kekal ia di dalamnya dan Allah murka kepadanya, dan disediakan baginya azab yang besar, tetapi Allah mengampuninya dan memberi rahmat kepada orang-orang yang beriman."
119,"Mengapa tidak diturunkan kepadamu (Muhammad) Al Quran ini, mengapa kamu berkata: ""Hai orang-orang yang beriman, apabila kamu pergi (berperang) di jalan Allah, maka telitilah dan janganlah kamu mengatakan kepada orang yang mengucapkan ""salam"" kepadamu: ""Kamu bukan seorang mukmin"" (lalu kamu membunuhnya), dengan maksud mencari kehidupan di dunia, karena di sisi Allah ada harta yang banyak, dan demikian (pula) kamu telah diwafatkan Allah sebelum itu. Maka janganlah kamu bersedih hati, karena sesungguhnya Allah Maha Mengetahui apa yang kamu kerjakan.","(Sesungguhnya kamu telah diberi nikmat dengan izin Allah) dengan pemberian nikmat-Nya. (Dan janganlah kamu mengatakan kepada orang yang mengucapkan salam kepadamu) hai Muhammad (dengan memberi salam yang bukan sebagai yang ditentukan Allah untukmu) yakni dengan memberi salam kepadamu dalam syafaat dan lain-lainnya (dengan mengatakan, ""Sesungguhnya kamu bukan orang yang berdosa."") orang kafir."
120,"(Maka apakah patut) Hamzah atau kata tanya di sini mengandung pengertian ingkar, sedangkan Wawu 'Athafnya menunjukkan 'Athaf jumlah kepada jumlah yang lain.","(Sesungguhnya orang-orang yang diwafatkan oleh malaikat dalam keadaan menganiaya diri sendiri) maksudnya orang-orang yang tinggal bersama orang kafir di Mekah dan tidak hendak hijrah (malaikat bertanya) kepada mereka sambil mencela (""Kenapa kamu ini?"" artinya bagaimana sebenarnya pendirianmu terhadap agamamu ini?"
121,Bacalah ayat yang memungkinkan dipersingkatnya doa dalam perjalanan atau rasa takut.,"Dan apabila kamu bepergian di muka bumi, maka tidaklah mengapa kamu men-qashar sembahyang (mu), jika kamu takut diserang orang-orang kafir; sesungguhnya orang-orang kafir itu adalah musuh yang nyata bagimu."
122,"Bacalah metode berdoa di medan perang, sebutkan ayat - ayatnya dan jelaskan.","Dan apabila kamu berada di tengah-tengah mereka (sahabatmu) lalu kamu hendak mendirikan shalat bersama-sama mereka, maka hendaklah segolongan dari mereka berdiri (shalat) besertamu dan menyandang senjata, kemudian apabila mereka (yang shalat besertamu) sujud (telah menyempurnakan serakaat), maka hendaklah mereka pindah dari belakangmu (untuk menghadapi musuh) dan hendaklah datang golongan yang kedua, lalu bersembahyanglah mereka segolongan yang kedua, lalu bersembahyanglah mereka denganmu], dan hendaklah mereka bersiap siaga dan menyandang senjata. Kemudian apabila kamu telah menyelesaikan shalat, maka hendaklah segolongan yang pertama dari kedua, lalu bersembahyang dan bersembahyanglah kamu, dan hendaklah yang kedua kamu salat."
123,"(Dan apakah patut) Hamzah atau kata tanya di sini mengandung pengertian ingkar, sedangkan Wawu 'Athafnya menunjukkan 'Athaf jumlah kepada jumlah yang lain.",(Demikian itu) maksudnya hukum yang telah disebutkan tadi berupa kewajiban menyembelih kurban atau berpuasa bagi orang yang mengerjakan haji secara tamatu (Kami turunkan kepadamu Alkitab) yakni Alquran (dengan benar) berkaitan dengan syariat (agar kamu mengadili di antara manusia dengan apa yang telah diajarkan Allah kepadamu) dan menurut qiraat yang lain lafal yursiina dibaca yudha'a (dan janganlah kamu menjadi saksi terhadap orang-orang yang berkhianat).
124,(Dan barang siapa yang mengerjakan kejahatan) atau dosa yang mengenai orang lain seperti Thu'mah yang menuduh si Yahudi (atau menganiaya dirinya) artinya berbuat dosa yang hanya menimpa dan terbatas pada dirinya sendiri (kemudian ia memohon ampun kepada Allah) atas perbuatannya itu atau ia bertobat (maka akan didapatinya Allah Maha Pengampun lagi Maha Penyayang) kepadanya.,"Dan barangsiapa yang menghendaki kejahatan dan menganiaya dirinya, maka sesungguhnya ia mengerjakannya untuk (kemudharatan) Allah, kemudian kembali kepada Allah, lalu memohon ampun kepada-Nya, dan menyembunyikan kesalahan-kesalahannya, maka sesungguhnya Allah Maha Pengampun lagi Maha Penyayang."
125,"(Dan barang siapa yang melakukan demikian) artinya mengambil mereka sebagai pemimpin (maka sesungguhnya ia telah berbuat suatu kebaikan yang besar di dunia) dan di akhirat, dan niscaya ia akan beroleh pahala yang besar. (Dan barang siapa yang melakukan demikian) yakni berbuat kemusyrikan (maka kelak Kami akan memberikan kepadanya pahala yang besar).","(Tidak ada kebaikan pada kebanyakan bisikan-bisikan manusia) artinya bisikan-bisikan manusia dan apa yang mereka percakapkan (kecuali) bisikan (sebagian dari bisikan-bisikan manusia) artinya bisikan-bisikan manusia dan apa yang mereka percakapkan (dan apa yang mereka usahakan) berupa perbuatan-perbuatan maksiat (dan barang siapa yang berbuat kebaikan di antara manusia, maka sesungguhnya ia beroleh pahala yang besar di sisi Allah)."
126,"(Dan berkatalah setan) yakni iblis (dalam ayat-ayat itu) yakni Alquran (""Sesungguhnya Allah telah menjanjikan kepadaku bahwa aku akan mendapat bagian) yakni bagian (dari hamba-hamba-Mu) yaitu Nabi Muhammad saw. (dan aku akan menyesatkan mereka) sehingga aku dapat memberikan petunjuk kepada mereka (dan akan aku suruh mereka mengubah ciptaan Allah."") yakni agama-Nya. (Dan barang siapa yang mengambil setan sebagai pelindung) yang akan melindunginya (selain Allah, maka sesungguhnya ia menderita kerugian yang nyata) jelas sesatnya.","Iblis berkata: ""Sesungguhnya aku akan menyesatkan sejumlah dari hamba-hamba-Mu, dan aku akan menyesatkan mereka dari jalan yang sesat, dan aku akan menyesatkan orang-orang yang mengikutiku dari jalan yang lurus. Barangsiapa yang mengikuti syaitan, maka sesungguhnya aku akan menjadikan dia pemimpin selain dari Allah, Yang Maha Perkasa lagi Maha Perkasa."""
127,"(Bacalah) maksudnya mulailah membaca dan memulainya (antara ayat-ayat itu) yakni Alquran (dan jelaskanlah makna ayat-ayatnya) yaitu mengenai pokok-pokok kepercayaan mereka (dan sifat-sifatnya) yakni ciri-ciri Nabi Muhammad saw. dan yang dituju. (Maka tatkala ayat itu dibacakan, Allah memberitahukannya) kepada mereka (dan menjelaskan) menerangkan (ayat-ayat-Nya) yang menunjukkan akan kekuasaan-Nya (dan menjelaskan) menerangkan (orang-orang yang buta huruf) orang-orang mukmin (di antara mereka) orang-orang kafir dari kalangan penduduk kota Mekah sehingga mereka mengetahui perkara yang hak, yaitu berupa iman dan perkara yang batil.","Hubungan antara ayat-ayat ini adalah seperti menyebutkan benih tanggal: benang, panjang benang yang berada di celah inti biji tanggal; biji, ukuran biji yang ada di bagian belakang inti, dan kapas, kulit putih tipis yang ada di inti."
128,"(Dan siapakah) maksudnya tidak ada seorang pun (yang lebih baik agamanya daripada orang yang menyerahkan dirinya) artinya ia tunduk dan ikhlas dalam beramal (karena Allah, sedangkan dia berbuat kebaikan) bertauhid (serta mengikuti agama Ibrahim) yang sesuai dengan agama Islam (yang lurus) menjadi hal, arti asalnya jalan condong, maksudnya condong kepada agama yang lurus dan meninggalkan agama lainnya. (Dan Allah mengambil Ibrahim sebagai kesayangan-Nya) yang disayangi-Nya secara tulus dan murni.","Seorang yang menyimpang: orang yang berpaling dari kepercayaan palsu dan hukum yang tidak sah; kekasih yang murni, tingkat tertinggi dari cinta dan pilihan."
129,"Katakanlah: ""Allah memberi fatwa kepadamu tentang mereka, dan apa yang dibacakan kepadamu dalam Al Quran (juga memfatwakan) tentang para wanita yatim hingga mereka cukup umur untuk kawin dan membayar maskawinnya; dan apa yang kamu kerjakan berupa kebaikan, maka sesungguhnya Allah Maha Melihat (keadaan) nya.","(Mereka bertanya kepadamu) hai Muhammad (tentang wanita-wanita yatim) yakni wanita-wanita yang masih dalam idahnya, (""Hendaklah kamu menerangkan) kepada mereka (apa-apa yang telah ditetapkan Allah bagi mereka) berupa hukum-hukum (dan apa-apa yang diwasiatkan oleh Allah kepadamu) berupa hukum-hukum dan lain-lainnya (tentang anak-anak yatim) dan lain-lainnya (dan apa-apa yang diwasiatkan-Nya) diulang-ulang-ulang (dalam Taurat) yang diturunkan-Nya padamu (dalam Kitab ini, maka diterangkan-Nya kepadamu apa-apa yang diharamkan-Nya kepada perempuan-perempuan yatim) berupa anak-anak perempuan (dan apa saja yang kamu usahakan di sisi Allah, maka sesungguhnya Allah Maha Mengetahui) tentang hal itu (lagi Maha Mengetahui) tentang makhluk-Nya."
130,Apakah ayat yang memerintahkan orang-orang beriman untuk berdiri teguh dengan keadilan dan melaksanakan kesaksian demi kebaikan Allah?,"Hai orang-orang yang beriman, hendaklah kamu menegakkan (kebenaran) orang-orang yang adil dan menjadi saksi atas (kebenaran) Allah, kendatipun terhadap dirimu sendiri atau ibu bapa dan kaum kerabatmu. Jika mereka kaya ataupun miskin, maka Allah lebih berhak menetapkan hukumnya; dan janganlah kamu mengikuti hawa nafsumu, dan jika kamu berpaling, maka sesungguhnya Allah Maha Mengetahui apa yang kamu kerjakan."
131,"Allah tidak akan mengampuni kejahatan yang telah mereka perbuat dan tidak pula memberi mereka petunjuk ke jalan yang benar. Allah akan mengampuni orang-orang yang bertobat dan menjauhi kejahatan, dan akan memberi petunjuk kepada orang-orang yang selalu mencari kebenaran.",(Sesungguhnya orang-orang yang beriman kepada Musa) maksudnya kepada Isa (adalah orang-orang Yahudi) dengan menyembah anak sapi (kemudian mereka kafir) dengan menyembah anak sapi (kemudian beriman) sesudah itu (kepada Isa) kepada Musa (lalu bertambah kekafiran mereka) kepada Muhammad saw. (maka Allah sekali-kali tidak akan mengampuni mereka) selama mereka dalam keadaan demikian (dan tidak pula akan menunjukkan kepada mereka jalan yang lurus) atau benar.
