|question_en|answer_en|question_id|answer_id
153||The Christians who claim that God is the Messiah, son of Mary, have indeed disbelieved. Say, O Messenger, to these ignorant Christians: 'If the Messiah were indeed a god, as they claim, he would have been able to prevent the decree of God when it came to him with the destruction of him and his mother and all that is on earth. But Mary, the mother of Jesus, has died, and he did not prevent her death. Similarly, he cannot prevent his own death; for both he and his mother are servants of God, unable to ward off the decree of destruction. This is a sign that he is a human being, like any other of the children of Adam. All that exists in the heavens and the earth belongs to God; He creates what He wills and brings it into being, and He has power over all things. The truth of Tawhid necessitates the uniqueness of God in the attributes of Lordship and Divinity; none of His creation shares that with Him. Many people fall into shirk and misguidance due to their exaggeration in the matter of the prophets and the righteous, as the Christians have exaggerated in the case of Jesus. The entire universe belongs to God, and the creation is in His hand alone; whatever appears of wonders and signs is referred back to God. He, the Exalted, creates what He wills and does what He wants.|- Ya.|"(Sesungguhnya telah kafirlah orang-orang Nasrani) menjadi mubtada sedangkan khabarnya ialah (terhadap Almasih putra Maryam) menjadi khabar dari mubtada (yang mengatakan, ""Sesungguhnya orang-orang Nasrani sesungguhnya Allah ialah Almasih putra Maryam."" Katakanlah,) kepada mereka (""Sesungguhnya jika) lam di sini bermakna qasam/sumpah (kamu berkata, 'Sesungguhnya Allah adalah Tuhan Yang Maha Esa lagi Maha Mengetahui') tentang makhluk-Nya."
154|What does (fatra min al-rusul) mean in this verse?|The period between the mission of Jesus and the mission of Muhammad (peace be upon him) is 569 years.|Apa (permulaan) yang dimaksud dengan (ayat-ayat) Al-Quran ini?|Periode antara misi Yesus dan misi Muhammad adalah 569 tahun.
155|What did Moses (peace be upon him) command his people? Did they obey him? What was their excuse? What did they say?|Moses, peace be upon him, ordered his people to enter the Holy Land, which is Jerusalem, but they did not obey him, saying, 'We will not enter it until its powerful people leave, for if they leave, we will enter.'|"Mûsâ pun berkata kepada kaumnya dengan nada mencela, ""Apakah kalian lebih mengutamakan kesesatan daripada keyakinan kalian kepada Mûsâ dan Hârûn daripada permintaan mereka agar kalian berada dalam kesesatan?"""|"Mûsâ pun melihat rasa takut pada kaumnya dan segera memompa optimisme mereka sambil berkata, ""Kami tidak akan memasuki negeri ini, sebelum orang-orang kuat itu pergi. Jika mereka keluar, kami tidak akan memasukinya."""
156|What did Joshua, Caleb, and the other spies sent by Moses to scout the land of the giants say? And what did the people of Moses insist upon?|They said, 'Enter upon them through the gate of their city, taking a strategic approach, and when you enter the gate, you will be victorious. And put your trust in Allah alone, if you are truly believers in His messenger and his message, and act according to His law.' Some people among Moses' followers said to him, 'We will never enter the city as long as the tyrants are in it. So you and your Lord go and fight them, while we stay here and will not fight them.' This was their stubborn refusal to obey Moses, peace be upon him. Allah revealed to two of those who feared Him, 'Enter upon them through the gate, for when you do, you will be victorious. And put your trust in Allah, if you are true believers.' They said, 'O Moses, we will never enter it as long as they are in it. So you and your Lord go and fight them, while we stay here.'|Apa yang dikatakan Yosua, Kaleb, dan mata - mata lain yang diutus Musa untuk menyelidiki tanah para raksasa itu?|"(Mereka berkata, ""Kami sekali-kali tidak akan memasukinya untuk selama-lamanya, selagi kamu masih tetap bersama mereka) dalam kekafirannya. (Demikian pulalah) artinya seperti apa yang telah Kami perintahkan kepada kalian untuk melakukannya (Kami tidak akan memasukinya untuk selama-lamanya dan mereka bertawakal kepada Rabbmu) artinya, berserah dirilah kepada-Nya dan takutlah kepada-Nya."
157|What did Moses (peace be upon him) call out to his people when they said to him, 'Go away, you and your Lord, and fight if you are truthful. We are right here waiting.'? What was the punishment from Allah (Exalted is He) for them?|Moses (peace be upon him) prayed to his Lord, 'Lord, please distinguish between us and the rebellious people, and Your punishment on them was that they wandered in the earth and could not enter the Holy Land for forty years.' Moses said, 'Lord, I have no power over anything except myself and my brother, so separate us from the rebellious people.' Allah said, 'It is forbidden to them for forty years; they will wander in the earth, so do not grieve over the rebellious people.' (Quran 5:25-26)|"(Dan) ingatlah (ketika Musa menyeru kaumnya) yang dimaksud adalah Nabi Musa, (""Pergilah kamu beserta Tuhanmu, dan perangilah) mereka (jika kamu benar-benar orang-orang yang sabar"") di dalam menghadapi penganiayaan mereka. (Maka Allah berfirman, ""Maka bagaimanakah) caranya (Allah menyiksa mereka) menurut qiraat yang lain dibaca yudha'i'u dengan dikasrahkan huruf kaf-nya, karena diathafkan kepada isim yang sesudahnya."|"(Musa berdoa kepada Rabbnya, ""Ya Rabbku! Berilah ampunan kepada kami dan bagi orang-orang yang fasik di antara kami) yakni orang-orang yang kafir sesudah empat puluh tahun (dan janganlah Engkau tenggelamkan kami) dalam kekafiran (sebelum empat puluh tahun."") yaitu selama empat puluh tahun."
158|Recite the story of Habil and Qabil with explanation and verses.|And recite to them, O Muhammad, the story of the two sons of Adam, Cain and Abel, in truth. When they offered sacrifices to Allah, He accepted the sacrifice of one of them, but not the other. So, the latter became angry and jealous, and said, 'I will kill you.' The former replied, 'Surely, Allah only accepts the sacrifice of the righteous. If you stretch out your hand to kill me, I will not stretch out my hand to kill you. I fear Allah, the Lord of the worlds. I want you to bear the sin of my killing, and the sin you have already committed, so that you will be among the inhabitants of the Fire. I do not want to bear your sin if I kill you.' But his desire overcame him, and he killed his brother. Thus, he became one of the losers. He did not know what to do with the body, so he carried it on his back. Allah sent a raven, scratching the ground to show him how to bury his brother. He said, 'Woe is me! I cannot even be like this raven and cover my brother's nakedness.' He felt sorry for carrying the body and buried it. This is mentioned in Surah Al-Ma'idah.|(Bacalah) maksudnya mulailah membaca dan memulainya (tentang habil dan Qabil) yang dimaksud adalah Nabi Muhammad saw. dan para sahabatnya (dengan membawa ayat-ayat) atau ayat-ayat Alquran (dan keterangan-keterangan) atau hujah-hujah (yang jelas) yang jelas.|(Dan bacakanlah) hai Muhammad (kepada mereka) yakni kepada kaummu (berita) kabar (dua orang anak Adam) yaitu Habil dan Qabil (dengan sebenarnya) berhubungan dengan utlu (ketika keduanya mempersembahkan kurban kepada Allah) kepada Allah berupa domba dari Habil dan hasil tanaman dari Qabil. (Maka diterima-Nya) ada yang membaca 'yaqulu' dan ada pula 'ya' (dari salah seorang dari mereka) yakni dari Habib dan ada pula yang mengatakan dengan 'ya' (dan tidak pula dari yang lain) yakni dari kedua jenis hewan yang dibiarkan di antara kedua jenis hewan kurban itu (karena itu aku takut kepada Allah) tidak akan dapat membunuhmu.
159|What is the reward for those who fight against Allah and His Messenger and spread corruption in the land?|The punishment for those who wage war against Allah and His Messenger and spread corruption in the land is that they should be killed or crucified or have their hands and feet cut off on alternate sides, or be exiled from the land. That is a disgrace for them in this world, and in the Hereafter they will have a great punishment.|Orang-orang yang memerangi Allah dan Rasul-Nya serta membuat kerusakan di muka bumi tanpa alasan yang benar, Allah dan Rasul-Nya akan memberikan balasan yang baik kepada mereka.|Sesungguhnya orang-orang yang memerangi Allah dan Rasul-Nya dan membuat kerusakan di muka bumi, mereka dibunuh atau disalib, atau dipotong tangan dan kaki mereka dengan bertimbal balik, atau dibuang dari negeri (tempat kediamannya). Yang demikian itu adalah kehinaan bagi mereka di dunia; dan di akhirat mereka beroleh siksaan yang besar.
160|Who is the thief? Mention the verse that indicates this and explain it.|As for the thief, male or female, cut off their hands as a punishment for what they have earned, and as a deterrent from Allah. Allah is Exalted in Power, Wise.|Sebutkan ayat yang menunjukkan hal ini dan menjelaskannya.|(Laki-laki yang mencuri dan wanita yang mencuri) al yang terdapat pada keduanya menunjukkannya sebagai isim maushul dan berfungsi sebagai mubtada, mengingat al mirip dengan syarat maka khabarnya diawali dengan fa, yaitu (maka potonglah tangan mereka) tangan kanan masing-masing mulai dari pergelangan. Dinyatakan oleh sunah bahwa hukum potong itu dilaksanakan jika yang dicuri itu bernilai seperempat dinar atau lebih; jika perbuatannya itu diulanginya lagi maka yang dipotong kakinya yang kiri dari pergelangan kaki, kemudian tangan kiri lalu kaki kanan dan setelah itu dilakukan hukum takzir (sebagai balasan) manshub sebagai mashdar (atas apa yang mereka kerjakan dan sebagai siksaan) artinya hukuman bagi mereka (dari Allah dan Allah Maha Perkasa) artinya menguasai segala urusan (lagi Maha Bijaksana) terhadap makhluk-Nya.
161||We have prescribed for the Children of Israel in the Torah: 'A life for a life, an eye for an eye, a nose for a nose, an ear for an ear, a tooth for a tooth; and there is for you an expiation in injuries.' But whoever overlooks and forgives, it would be an expiation for him. And whoever does not judge by what Allah has revealed, those are the wrongdoers.|- Ya.|(Dan barang siapa yang tidak memutuskan menurut apa yang diturunkan Allah, maka mereka itu adalah orang-orang yang fasik).
162|What is the wisdom behind the descent of the books and the differences in religious laws among the nations?|Wisdom lies in the descent of the Books and the variance of laws among the nations, so that Allah may test them and distinguish the obedient from the disobedient. And We have sent down to you the Book with the truth, confirming what came before it of the Book and as a guardian over it. So judge between them by what Allah has revealed and do not follow their desires away from what has come to you of the truth. For each of you, We have made a law and a way, and if Allah had willed, He would have made you one nation, but He intended to test you in what He has given you. So strive for good deeds, for to Allah is your return all together, and He will inform you about that over which you used to differ.|Apa hikmat di balik buku - buku dan perbedaan hukum agama di antara bangsa - bangsa?|(Kitab) lafal ayat ini menjadi Khabar Mubtada (yang diturunkan kepadamu) maksudnya hukum-hukum (dengan benar) menjadi Khabar dari Mubtada (maka putuskanlah perkara di antara mereka dengan apa yang diturunkan Allah dan janganlah kamu mengikuti hawa nafsu mereka dan janganlah kamu mengikuti hawa nafsu mereka dalam urusan yang telah datang kepadamu) dalam masalah agama, dan janganlah kamu mengikuti hawa nafsu mereka. (Sesungguhnya Kami telah menjelaskan kepadamu hukum-hukummu) yakni hukum-hukum di antara kitab-kitab (dan jalan) tuntunan (yang lurus) yang lurus (Dan kalau Allah menghendaki, niscaya Dia menjadikan kamu satu umat) di antara umat-umat terdahulu (tetapi Dia hendak mengujimu tentang apa yang telah diberikan-Nya kepadamu) berupa hukum-hukum dan peraturan-peraturan-Nya (maka janganlah kamu mengikuti hawa nafsu mereka) dalam hal-hal tersebut.
163|Recite the verse that commands us not to take Jews and Christians as allies or supporters over the people of faith?|O you who believe, do not take the Jews and the Christians as allies. They are [in fact] allies of one another. And whoever is an ally to them among you - then indeed, he is [one] of them. Indeed, Allah guides not the wrongdoing people.|Bacalah ayat yang melarang kita menjadikan orang Yahudi dan Kristen sebagai sekutu atau pendukung orang - orang yang beriman?|Hai orang-orang yang beriman, janganlah kamu mengambil orang-orang Yahudi dan Nasrani menjadi pemimpin-pemimpin (mu); sebahagian mereka adalah pemimpin bagi sebahagian yang lain. Barangsiapa diantara kamu mengambil mereka menjadi pemimpin, maka sesungguhnya orang itu termasuk golongan mereka.
164|Explain these verses, so you will see those in whose hearts is a disease hastening towards them, saying, 'We fear that a calamity may strike us,' while Allah may bring about the victory or an order from Him, and they will regret what they have hidden within themselves. And those who believe will say, 'Are these the ones who swore by Allah with their most solemn oaths that they were with you? Their works have failed, and they have become the losers.' (The Cow, 52-53)|God revealed that a group of hypocrites used to hasten in befriending the Jews due to the doubt and hypocrisy in their hearts, saying, 'We only befriend them out of fear that they might gain power over the Muslims and harm us with them.' God said, 'Perhaps God will bring about victory - that is, the conquest of Mecca - and strengthen His Prophet, and manifest Islam and the Muslims over the disbelievers, or He will prepare matters that will cause the power of the Jews and Christians to be defeated, so they will submit to the Muslims. At that time, the hypocrites will regret what they had hidden in their hearts regarding their friendship. Then, some believers will say to one another in amazement, 'Are these the ones who swore with the strongest oaths that they were with us?' The deeds of the hypocrites will be nullified, and they will have no reward for them, as they did them not out of faith, so they lost both this world and the hereafter.|"Dan kamu akan melihat orang-orang yang ada penyakit dalam hatinya (orang-orang munafik) bersegera mendekati mereka (Yahudi dan Nasrani), seraya berkata: ""Kami takut akan mendapat bencana."" Allah mendatangkan kemenangan atas kami, dan lenyaplah dari mereka amalan mereka, lalu mereka itulah orang-orang yang merugi."|"(Allah berfirman,) Maha Tinggi Allah (""Sesungguhnya orang-orang munafik itu) yakni kaum Muhajirin dan kaum Ansar (akan mengalahkan mereka) dengan dibaca takhfif dan tasydid (di antara orang-orang mukmin dan orang-orang mukmin) dari kalangan kaum Muhajirin dan kaum Ansar. (Allah berfirman): ""Sesungguhnya Allah akan memberi kemenangan kepada mereka dengan kemenangan yang nyata) tanpa melalui kemenangan yang nyata (yaitu kemenangan atas orang-orang kafir)."
165|Explain this verse: 'And the Jews say, 'The hand of Allah is tied.' Their hands are tied, and they are cursed for what they say. Rather, Allah's hands are widely open in spending as He wills. Indeed, many of them will increase in faithlessness and disbelief from that which has been sent down to you from your Lord. And We have placed enmity and hatred between them until the Day of Resurrection. Whenever they kindle the fire of war, Allah extinguishes it. And they strive throughout the land causing corruption, and Allah does not like those who cause corruption.' (5:64)|Allah revealed to His Prophet something of the Jews' misdeeds, which they used to keep secret among themselves. They had said, 'Allah's hand is tied from doing good, He has been stingy with us in provision and expansion, and this was when hardship and famine struck them. Their hands were sealed, meaning they were prevented from doing good, and Allah removed them from His mercy due to their statement. However, the matter is not as they attribute to their Lord. Rather, His hands are open, with no restraint or obstacle preventing Him from spending, for He is the Generous, the Kind, who spends according to wisdom and in the best interest of His servants. In this verse, there is an affirmation of the attribute of hands for Allah, exalted be He, in a manner that befits Him, without similarity or likening. But they will only increase in transgression and disbelief due to their envy and hatred, for Allah has chosen you for the message. Allah, the Exalted, informs that factions of the Jews will continue until the Day of Judgment, being hostile to one another and turning away from each other. Whenever they conspire to cause harm to the Muslims by instigating strife and igniting the fire of war, Allah thwarts their plot and scatters their ranks. The Jews continue to commit sins against Allah, which leads to corruption and turmoil on earth. Allah, the Exalted, does not love the corruptors.|"(Dan kata mereka, ""Tangan Allah terbelenggu,"") artinya tangan Allah terbelenggu (dan tangan-tangan mereka terbelenggu disebabkan ucapan-ucapan mereka) yang mereka ucapkan tadi (dan merekalah yang dilaknat"") yakni akan dikutuk dan dijauhkan dari rahmat-Nya (karena apa yang mereka katakan itu) yaitu bahwa sesungguhnya Allah swt. mengazab mereka sebab ayat ini diturunkan berkenaan dengan orang-orang Yahudi. (Sebenarnya kebanyakan di antara mereka) penduduk Mekah (akan bertambah kekafiran dan kekafiran terhadap apa yang diturunkan kepadamu dari Rabbmu) berupa ganimah dan lain-lainnya (dan telah Kami jadikan di antara mereka permusuhan dan kebencian antara mereka sampai hari kiamat) disebabkan kedustaan mereka terhadap Nabi saw. terhadap Nabi saw. terhadap Nabi saw. (dan apabila mereka menyalakan api neraka, maka Allah menghancurkannya) dan menghancurkannya."|(Allah telah menurunkan kepada Nabi-Nya) Nabi Muhammad saw. (bahwa) huruf an di sini adalah bentuk takhfif dari anna, yakni annahu (apa yang mereka usahakan) berupa perbuatan-perbuatan maksiat (dari orang-orang Yahudi) berupa perbuatan-perbuatan maksiat (sesuatu yang tidak diridai) seperti perbuatan-perbuatan maksiat dan perbuatan-perbuatan maksiat (di antara sesama mereka) yaitu berhala-berhala (dan bahwasanya) dhamir di sini adalah bentuk takhfif daripada anna, artinya bahwasanya mereka (tangan-tangan mereka) yakni tangan-tangan-tangan mereka yang paling kanan (disebabkan kesalahan-kesalahan mereka) berupa kekafiran, kekafiran dan lain-lainnya (karena itu Allah menyesatkan orang-orang musyrik) yakni orang-orang kafir (dan membuat kerusakan di antara mereka jauh dari kebenaran) dengan kehendak-Nya.
166|The Prophet (peace be upon him) was being guarded, but when this verse was revealed, he said, 'Who was guarding me? (Go away, for Allah has protected me.)' What is this noble verse?|O Messenger, convey whatever has been revealed to you from your Lord, and if you do not, then you have not conveyed His message. Allah will protect you from the people. Indeed, Allah does not guide the disbelieving people.|"Nabi Muhammad SAW menjaganya dengan baik. Tatkala ayat itu diturunkan, ia berkata, ""Siapakah yang akan memeliharaku dari azab Allah?"""|(Hai Rasul, sampaikanlah apa yang diturunkan kepadamu dari Tuhanmu) yakni Alquran (dan jika kamu tidak menyampaikan) atau menyampaikan (amanat-Nya) yakni syariat-Nya (maka sesungguhnya Allah melindungi kamu dari manusia) baik dari godaan dan godaan setan (dan sesungguhnya Allah tidak memberi petunjuk kepada orang-orang yang kafir).
167||Indeed, God is a combination of three: the Father (God), the Son (Jesus), and the Holy Spirit (Gabriel), far exalted is He from what they say.|- Ya.|(Sesungguhnya Allah benar-benar Maha Tinggi) di atas semua makhluk-Nya (dari apa yang mereka katakan) dari dakwaan sekutu-sekutu itu (Maha Suci Allah) menyucikan-Nya dari hal-hal yang tidak layak bagi-Nya.
168|What is Jesus, son of Mary, but a messenger; messengers have passed away before him. His mother was a woman of truth. They both used to eat food. See how We make the signs clear to them, yet see how they are deluded. (5:75, The Table)|Jesus and his mother, peace be upon them, used to eat food, and God does not need food, nor does He have a body that can be composed or decomposed, or any need for excretion.|(Almasih putra Maryam itu hanyalah seorang rasul yang sesungguhnya telah berlalu) telah lewat (sebelumnya beberapa rasul) maka dia pun akan berlalu/mati seperti mereka; dia bukanlah Tuhan seperti apa yang telah mereka sangkakan, jika memang demikian maka niscaya ia pun tidak akan berlalu/mati (dan ibunya seorang yang amat benar) seorang wanita yang teramat benar (keduanya biasa memakan makanan) sama seperti makhluk-makhluk hidup lainnya, maka siapa pun yang keadaannya demikian berarti dia bukanlah Tuhan karena ia masih membutuhkan makanan, lemah dan masih mengeluarkan kencing dan kotoran sebagai akibat dari makanan itu. (Perhatikanlah) dengan penuh rasa ketakjuban (bagaimana Kami menjelaskan kepada mereka, ahli kitab, tanda-tanda kekuasaan Kami) yang menunjukkan keesaan Kami (kemudian perhatikanlah bagaimana) lafal annaa adalah kata tanya (mendustakannya) mereka berpaling dari perkara hak yang disertai dengan bukti yang jelas.|Yesus dan ibunya, damailah bagi mereka, biasa makan makanan, dan Allah tidak membutuhkan makanan, dan juga tidak memiliki tubuh yang dapat digubah atau terurai, atau perlunya penangkaran.
169|What is the reason for the revelation of these verses?|When the delegation from the Negus, who had come to the Prophet Muhammad (peace be upon him), arrived, the Prophet (peace be upon him) recited Surah Yasin to them, and they wept and accepted Islam, saying, 'This is indeed similar to what was revealed to Jesus (peace be upon him).'|Apa alasan ayat - ayat ini disingkapkan?|"Nabi Muhammad saw. membacakan surah Ya'qub kepada mereka, lalu mereka menangis dan masuk Islam. (Ibrahim berkata): ""Inilah (kesejahteraan) yang diwahyukan kepada Isa."""
170|Why were these noble verses revealed? 'O you who believe, do not forbid the good things that Allah has made lawful for you, and do not transgress. Indeed, Allah does not like the transgressors. And eat from what Allah has provided for you, lawful and good, and fear Allah in whom you believe.' (The Cow, 87-88)|The reason for the revelation was that some of the companions were about to strictly observe fasting, stand in prayer, avoid women and pleasant scents, not eat meat, and not sleep on beds. (O you who believe, do not forbid the good things that Allah has made lawful for you, and do not transgress. Allah does not love the transgressors.)|(Mengapa ayat-ayat yang mulia ini diturunkan kepadamu, hai orang-orang yang beriman, janganlah kamu haramkan apa-apa yang baik yang telah Allah halalkan bagi kamu dan janganlah kamu melampaui batas?) janganlah kamu melanggar perintah Allah. (Sesungguhnya Allah tidak menyukai orang-orang yang melampaui batas) yakni orang-orang musyrik (dan makan makanan yang halal dan bertakwalah kamu kepada Allah yang kamu beriman kepada-Nya.)|"(Sesungguhnya telah diwahyukan kepada kawan-kawannya) yaitu kepada orang-orang kafir Mekah (""Berdirilah kamu untuk mengerjakan salat, tunaikanlah salat, tunaikanlah zakat dan janganlah kamu makan makanan yang baik) seumpamanya kamu boleh memakannya (dan janganlah kamu tidur di tempat tidur) dengan jalan memakannya."
171|What is the expiation for breaking an oath?|The expiation for breaking an oath is the feeding of ten needy people, or clothing them, or the freeing of a slave, or fasting for three days. Allah will not hold you accountable for your careless words, but He will hold you accountable for your oaths. So, if you have sworn, expiate by feeding ten needy people from the average of what you feed your own family, or clothing them, or freeing a slave. If you cannot do this, then fast for three days. This is the expiation for breaking oaths, and Allah makes clear to you His signs so that you may be grateful.|(Mengapa kalian) dapat dibaca secara Tahqiq dan Tashil (menolak janji dengan janji yang benar) lafal Al-Asyqaa pada asalnya adalah Al-Asyqaa, kemudian huruf Ta yang kedua diidgamkan kepada huruf Dzal.|Allah tidak menghukum kamu disebabkan sumpahmu yang tidak dimaksud (untuk bersumpah), tetapi Dia menghukum kamu disebabkan sumpah-sumpahmu yang disengaja (untuk bersumpah) oleh hatimu. Jika kamu bersumpah, maka bayarlah sepuluh orang saksi dari orang-orang fakir itu, atau bayarkanlah sepuluh orang saksi dari orang-orang mukmin, supaya kamu tidak memberi makan keluarga dan pakaian kepada mereka.
172|Explain the meaning of the verse: 'O you who believe! Intoxicants, gambling, sacrificing to stones set up, and (divination by) arrows are all an abomination - a handiwork of Satan, so avoid them that you may prosper.' (5:90)|Intoxicants, gambling, idols, and divining arrows are all abominations invented by Satan. Stay away from these evils so that you may prosper and enter paradise.|"Katakanlah: ""Hai orang-orang yang beriman, (minuman) khamar, berjudi, berjudi, berjudi dan berjudi itu adalah perbuatan keji, maka jauhilah perbuatan-perbuatan itu, hai syaitan! Maka jauhilah perbuatan-perbuatan itu agar kamu mendapat keberuntungan."|(Maka jauhilah perbuatan-perbuatan itu) yakni kekejian yang terkandung di dalam perbuatan-perbuatan itu jangan sampai kamu melakukannya (agar kamu mendapat keberuntungan).
173|Explain the verse: 'O you who believe! Do not kill the game while you are in a state of Ihram (ritual consecration), and whoever kills it intentionally, the penalty is an offering equivalent to the value of that which he killed, as judged by two just men among you, or expiation by feeding the poor, or its equivalent in fasting, so that he may taste the evil consequences of his deed. Allah has forgiven what is past, but whoever returns to it, Allah will take retribution from him. And Allah is All-Mighty, All-Able to take retribution.' (5:95)|O you who believe, do not kill game while you are in a state of pilgrimage, except for what is within your reach. If anyone kills it intentionally, the penalty is a penalty equivalent to that of the slain animal. As Allah has ordained. He will judge on the Day of Resurrection. And if it is a domestic animal, its penalty is of the same kind and its equivalent. Allah has ordained this. And whoever kills it without just cause, he will have to pay its equivalent in compensation. The judgment is based on fairness from you, O you who have the power to discern. And Allah is All-Hearing, All-Knowing. But if you find it, it is a provision for you and your family, not to be blamed. Allah is All-Aware of what you do. And if you are sick or on a journey, the number of days you are sick or on a journey, Allah will provide you with other days to fast, Allah willing, to complete the same number. Allah is All-Forgiving, Most Merciful. And if one kills it unintentionally, there is no penalty for him. This is Allah's ordinance, and He will judge between them on the Day of Resurrection. And if you kill it intentionally, then the penalty is an equivalent for the slain animal, as Allah has ordained. And Allah is All-Wise in what He ordains.|"Katakanlah: ""Hai orang-orang yang beriman, janganlah kamu membunuh binatang buruan, ketika kamu sedang ihram; sedang kamu dalam keadaan junub, tetapi barangsiapa membunuh secara sengaja, maka dendanya ialah mengganti dengan binatang ternak seimbang dengan buruan yang dibunuhnya, menurut putusan dua orang yang adil di antara kamu sebagai had-yad yang diberikan kepada orang yang miskin atau berpuasa seimbang dengan makanan yang dikeluarkan itu, agar ia merasakan akibat buruk dari perbuatannya. Allah telah memaafkan apa yang telah lalu; dan barangsiapa yang kembali kepada-Nya, niscaya Dia akan mengazabnya dengan azab (yang besar) dari sisi-Nya."|(Hai orang-orang yang beriman, janganlah kamu membunuh binatang buruan, ketika kamu sedang ihram), maksudnya sedang ihram sedang ihram, (melainkan) sedang ihram (kamu dalam keadaan ihram), maksudnya sedang ihram atau sedang ihram (dalam keadaan ihram), maksudnya sedang ihram atau ihram (di waktu ihram), dalam 'ihram (kamu menyembelihnya), maksudnya di dalam ihram atau ihram, (maka janganlah kamu membunuh binatang buruan yang mati), maksudnya hewan yang disembelih dengan menyebut nama Allah, (wa saja), artinya hewan yang disembelih dengan menyebut nama selain nama Allah. (Itulah) yang telah disebutkan tadi (hukum Allah, jika kamu benar-benar hendak membunuh manusia), artinya dengan kehendak-Nya, (maka bagi siapa di antara kamu yang di antaramu yang dikehendaki-Nya) lalu kamu boleh memakannya.
174|Can a fasting person eat the meat of animals or the meat of fish, or both?|The pilgrim is permitted to eat any food that Allah has made lawful for him. However, he is not permitted to hunt land animals, but he is allowed to hunt sea creatures for food, both for himself and for those who are traveling with him. This is until he completes his pilgrimage.|Dapatkah orang berpuasa memakan daging binatang atau daging ikan, atau keduanya?|(Dihalalkan bagi orang-orang yang mengerjakan haji) atau hal-hal yang telah dihalalkan bagi mereka (bagi mereka makanan yang halal dari makanan yang telah dihalalkan Allah) yaitu yang dihalalkan bagi mereka karena mereka menghalalkan apa yang telah dihalalkan oleh-Nya (tetapi mereka tidak halalkan untuk berburu di darat) dengan jalan mengharamkan apa yang telah dihalalkan bagi mereka (melainkan untuk dirinya sendiri dan bagi orang-orang yang bersama dia) di antara mereka (tempat-tempat untuk haji) untuk berburu.
175|Explain the verse: 'O you who believe, do not ask about things which, if disclosed to you, may trouble you. But if you ask about them when the Qur'an is being revealed, they will be disclosed to you, for Allah has pardoned that. And Allah is Forgiving, Merciful.' (5:101) 'Indeed, a people before you asked such questions, then became disbelievers because of it.' (5:102)|O you who believe in Allah and His Messenger and have done righteous deeds, do not ask about things which you have not been commanded to ask about, such as matters that have not yet occurred or those that may result in severe consequences in the religion. Even if you were to be tasked with them, they would be too difficult for you. Allah has left these matters ambiguous for His servants, and Allah is Forgiving to His servants when they repent, and He is Ever-Merciful, not punishing them if they turn to Him.|(Dan jika) lafal immaa ini asalnya terdiri dari in syarthiyah dan maa zaidah yang digabungkan menjadi satu (kamu menanyakannya di waktu Alquran itu diturunkan) lafal alladziina pada ayat ini berkedudukan menjadi badal daripada inna (pastilah akan diterangkan kepadamu) lafal alladziina berkedudukan menjadi badal daripada lafal alladziina (dan Allah Maha Pengampun) kepada orang-orang mukmin (lagi Maha Penyayang) kepada mereka.|"Hai orang-orang yang beriman kepada Allah dan Rasul-Nya dan mengerjakan amal yang saleh, janganlah kamu menanyakan (kepada Nabimu) hal-hal yang tidak diperintahkan (kepadamu) untuk kamu menanyakan sesuatu tentang hal-hal yang belum pernah terjadi pada mereka yaitu: ""Telah diputuskan perkara yang di antara kamu."" Dan adalah Allah Maha Pengampun lagi Maha Penyayang kepada hamba-hamba-Nya."
176|What are (al-Bahirah, al-Sa'ibah, al-Wasilah, al-Ham) in the verse?|The Lake: It gives its milk to the demons, so no one from the people milks it. The Orphan: It was left for their gods, so nothing is carried on it. The Pure One: The first female camel to give birth, it gives birth to a male first, then a female, and they used to leave it for their idols if two of them met without a male between them. The Guardian: A male camel that strikes a certain number of kicks, once it has finished its kicks, they leave it for the demons and exempt it from carrying anything, and they named it the Guardian.|Apakah (patut Al Quran) dalam Al Quran itu; Istifham atau kata tanya di sini mengandung makna ingkar.|Lahan itu tidak disalibkan untuk berhala-berhala mereka dan tidak pula untuk dewa-dewa mereka. Unta yang pertama-tama dilahirkan untuk melahirkan, kemudian dilahirkan seorang anak laki-laki kemudian dijadikannya lagi oleh seorang anak perempuan, lalu dikawini dengan anak perempuan itu kepada berhala-berhala mereka.
